,Tanggal,Shift,Subtotal,Jumlah Transaksi,Tanggal_month,Jumlah Transaksi_1month,Subtotal_1month
0,2021-10-30,1,3332000,22,2021-10-02,,
1,2021-10-30,2,7966000,44,2021-10-02,,
2,2021-10-31,1,3037000,16,2021-10-03,,
3,2021-10-31,2,8073000,46,2021-10-03,,
4,2021-11-01,1,2476000,15,2021-10-04,,
5,2021-11-01,2,2613000,18,2021-10-04,,
6,2021-11-02,1,1216000,8,2021-10-05,,
7,2021-11-02,2,3811000,28,2021-10-05,,
8,2021-11-03,1,2933000,13,2021-10-06,,
9,2021-11-03,2,2568000,20,2021-10-06,,
10,2021-11-04,1,2004000,16,2021-10-07,,
11,2021-11-04,2,3466000,24,2021-10-07,,
12,2021-11-05,1,2700000,20,2021-10-08,,
13,2021-11-05,2,5554000,34,2021-10-08,,
14,2021-11-06,1,4226000,34,2021-10-09,,
15,2021-11-06,2,8634000,52,2021-10-09,,
16,2021-11-07,1,4746000,27,2021-10-10,,
17,2021-11-07,2,9906000,61,2021-10-10,,
18,2021-11-08,1,1884000,11,2021-10-11,,
19,2021-11-08,2,6399000,39,2021-10-11,,
20,2021-11-09,1,1572000,13,2021-10-12,,
21,2021-11-09,2,3700000,28,2021-10-12,,
22,2021-11-10,1,4346000,21,2021-10-13,,
23,2021-11-10,2,6813000,40,2021-10-13,,
24,2021-11-11,1,4172500,22,2021-10-14,,
25,2021-11-11,2,6012000,34,2021-10-14,,
26,2021-11-12,1,1225000,9,2021-10-15,,
27,2021-11-12,2,7341000,44,2021-10-15,,
28,2021-11-13,1,3472000,24,2021-10-16,,
29,2021-11-13,2,8305000,48,2021-10-16,,
30,2021-11-14,1,3864000,19,2021-10-17,,
31,2021-11-14,2,11668000,58,2021-10-17,,
32,2021-11-15,1,3881000,25,2021-10-18,,
33,2021-11-15,2,4347500,23,2021-10-18,,
34,2021-11-16,1,4416000,23,2021-10-19,,
35,2021-11-16,2,5410000,30,2021-10-19,,
36,2021-11-17,1,2339000,14,2021-10-20,,
37,2021-11-17,2,4358000,28,2021-10-20,,
38,2021-11-18,1,2672000,22,2021-10-21,,
39,2021-11-18,2,6362000,39,2021-10-21,,
40,2021-11-19,1,2832000,19,2021-10-22,,
41,2021-11-19,2,6134000,36,2021-10-22,,
42,2021-11-20,1,4410000,23,2021-10-23,,
43,2021-11-20,2,7995000,56,2021-10-23,,
44,2021-11-21,1,3575500,26,2021-10-24,,
45,2021-11-21,2,9949000,50,2021-10-24,,
46,2021-11-22,1,3301000,24,2021-10-25,,
47,2021-11-22,2,4314000,33,2021-10-25,,
48,2021-11-23,1,2369000,19,2021-10-26,,
49,2021-11-23,2,6111000,38,2021-10-26,,
50,2021-11-24,1,3895000,25,2021-10-27,,
51,2021-11-24,2,4433000,29,2021-10-27,,
52,2021-11-25,1,4918000,23,2021-10-28,,
53,2021-11-25,2,6525000,40,2021-10-28,,
54,2021-11-26,1,1729000,12,2021-10-29,,
55,2021-11-26,2,6107500,40,2021-10-29,,
56,2021-11-27,1,3606500,25,2021-10-30,132.0,22596000.0
57,2021-11-27,2,9911000,60,2021-10-30,132.0,22596000.0
58,2021-11-28,1,4266000,26,2021-10-31,124.0,22220000.0
59,2021-11-28,2,8255000,48,2021-10-31,124.0,22220000.0
60,2021-11-29,1,3682000,26,2021-11-01,66.0,10178000.0
61,2021-11-29,2,6588000,45,2021-11-01,66.0,10178000.0
62,2021-11-30,1,3115000,23,2021-11-02,72.0,10054000.0
63,2021-11-30,2,4395000,23,2021-11-02,72.0,10054000.0
64,2021-12-01,1,1651000,11,2021-11-03,66.0,11002000.0
65,2021-12-01,2,6249000,38,2021-11-03,66.0,11002000.0
66,2021-12-02,1,3459000,15,2021-11-04,80.0,10940000.0
67,2021-12-02,2,7919000,52,2021-11-04,80.0,10940000.0
68,2021-12-03,1,3920000,27,2021-11-05,108.0,16508000.0
69,2021-12-03,2,6493000,39,2021-11-05,108.0,16508000.0
70,2021-12-04,1,3825500,20,2021-11-06,172.0,25720000.0
71,2021-12-04,2,8067500,46,2021-11-06,172.0,25720000.0
72,2021-12-05,1,3734000,25,2021-11-07,176.0,29304000.0
73,2021-12-05,2,8923500,58,2021-11-07,176.0,29304000.0
74,2021-12-06,1,2564000,19,2021-11-08,100.0,16566000.0
75,2021-12-06,2,5384000,38,2021-11-08,100.0,16566000.0
76,2021-12-07,1,4151000,27,2021-11-09,82.0,10544000.0
77,2021-12-07,2,4006000,29,2021-11-09,82.0,10544000.0
78,2021-12-08,1,3937000,24,2021-11-10,122.0,22318000.0
79,2021-12-08,2,8471000,38,2021-11-10,122.0,22318000.0
80,2021-12-09,1,5731000,25,2021-11-11,112.0,20369000.0
81,2021-12-09,2,5873000,34,2021-11-11,112.0,20369000.0
82,2021-12-10,1,4589000,23,2021-11-12,106.0,17132000.0
83,2021-12-10,2,6413000,38,2021-11-12,106.0,17132000.0
84,2021-12-11,1,5103000,33,2021-11-13,144.0,23554000.0
85,2021-12-11,2,6668000,43,2021-11-13,144.0,23554000.0
86,2021-12-12,1,5780000,36,2021-11-14,154.0,31064000.0
87,2021-12-12,2,8311000,47,2021-11-14,154.0,31064000.0
88,2021-12-13,1,2741000,20,2021-11-15,96.0,16457000.0
89,2021-12-13,2,4963000,35,2021-11-15,96.0,16457000.0
90,2021-12-14,1,2111000,16,2021-11-16,106.0,19652000.0
91,2021-12-14,2,5203000,29,2021-11-16,106.0,19652000.0
92,2021-12-15,1,2924000,19,2021-11-17,84.0,13394000.0
93,2021-12-15,2,7009000,44,2021-11-17,84.0,13394000.0
94,2021-12-16,1,3208000,21,2021-11-18,122.0,18068000.0
95,2021-12-16,2,8171000,51,2021-11-18,122.0,18068000.0
96,2021-12-17,1,2333000,18,2021-11-19,110.0,17932000.0
97,2021-12-17,2,5926500,43,2021-11-19,110.0,17932000.0
98,2021-12-18,1,6295000,40,2021-11-20,158.0,24810000.0
99,2021-12-18,2,8203000,50,2021-11-20,158.0,24810000.0
100,2021-12-19,1,4002000,24,2021-11-21,152.0,27049000.0
101,2021-12-19,2,10756000,57,2021-11-21,152.0,27049000.0
102,2021-12-20,1,3907000,21,2021-11-22,114.0,15230000.0
103,2021-12-20,2,9111000,51,2021-11-22,114.0,15230000.0
104,2021-12-21,1,2736000,19,2021-11-23,114.0,16960000.0
105,2021-12-21,2,6593000,43,2021-11-23,114.0,16960000.0
106,2021-12-22,1,3364000,22,2021-11-24,108.0,16656000.0
107,2021-12-22,2,7904000,41,2021-11-24,108.0,16656000.0
108,2021-12-23,1,3991000,27,2021-11-25,126.0,22886000.0
109,2021-12-23,2,7110000,47,2021-11-25,126.0,22886000.0
110,2021-12-24,1,2838000,22,2021-11-26,104.0,15673000.0
111,2021-12-24,2,7027000,44,2021-11-26,104.0,15673000.0
112,2021-12-25,1,2915000,16,2021-11-27,170.0,27035000.0
113,2021-12-25,2,8952000,46,2021-11-27,170.0,27035000.0
114,2021-12-26,1,3370000,19,2021-11-28,148.0,25042000.0
115,2021-12-26,2,9454000,50,2021-11-28,148.0,25042000.0
116,2021-12-27,1,5907000,25,2021-11-29,142.0,20540000.0
117,2021-12-27,2,5736500,38,2021-11-29,142.0,20540000.0
118,2021-12-28,1,4310500,27,2021-11-30,92.0,15020000.0
119,2021-12-28,2,8082000,53,2021-11-30,92.0,15020000.0
120,2021-12-29,1,2684000,15,2021-12-01,98.0,15800000.0
121,2021-12-29,2,5954000,35,2021-12-01,98.0,15800000.0
122,2021-12-30,1,3037000,21,2021-12-02,134.0,22756000.0
123,2021-12-30,2,9687000,50,2021-12-02,134.0,22756000.0
124,2021-12-31,1,3012000,16,2021-12-03,132.0,20826000.0
125,2021-12-31,2,4450000,29,2021-12-03,132.0,20826000.0
126,2022-01-01,1,3779000,26,2021-12-04,132.0,23786000.0
127,2022-01-01,2,10548000,55,2021-12-04,132.0,23786000.0
128,2022-01-02,1,4001000,26,2021-12-05,166.0,25315000.0
129,2022-01-02,2,10725000,56,2021-12-05,166.0,25315000.0
130,2022-01-03,1,6839000,29,2021-12-06,114.0,15896000.0
131,2022-01-03,2,7910000,51,2021-12-06,114.0,15896000.0
132,2022-01-04,1,5091000,29,2021-12-07,112.0,16314000.0
133,2022-01-04,2,5626000,39,2021-12-07,112.0,16314000.0
134,2022-01-05,1,3581500,20,2021-12-08,124.0,24816000.0
135,2022-01-05,2,5269000,33,2021-12-08,124.0,24816000.0
136,2022-01-06,1,3125000,18,2021-12-09,118.0,23208000.0
137,2022-01-06,2,5413500,39,2021-12-09,118.0,23208000.0
138,2022-01-07,1,1097000,11,2021-12-10,122.0,22004000.0
139,2022-01-07,2,9955500,53,2021-12-10,122.0,22004000.0
140,2022-01-08,1,6245500,26,2021-12-11,152.0,23542000.0
141,2022-01-08,2,8195000,48,2021-12-11,152.0,23542000.0
142,2022-01-09,1,2924000,17,2021-12-12,166.0,28182000.0
143,2022-01-09,2,9133500,54,2021-12-12,166.0,28182000.0
144,2022-01-10,1,2011000,13,2021-12-13,110.0,15408000.0
145,2022-01-10,2,7841000,46,2021-12-13,110.0,15408000.0
146,2022-01-11,1,2763000,21,2021-12-14,90.0,14628000.0
147,2022-01-11,2,6009000,37,2021-12-14,90.0,14628000.0
148,2022-01-12,1,3825000,21,2021-12-15,126.0,19866000.0
149,2022-01-12,2,7089500,43,2021-12-15,126.0,19866000.0
150,2022-01-13,1,4094000,21,2021-12-16,144.0,22758000.0
151,2022-01-13,2,7951500,52,2021-12-16,144.0,22758000.0
152,2022-01-14,1,3551500,22,2021-12-17,122.0,16519000.0
153,2022-01-14,2,7812000,45,2021-12-17,122.0,16519000.0
154,2022-01-15,1,2686000,15,2021-12-18,180.0,28996000.0
155,2022-01-15,2,8093000,46,2021-12-18,180.0,28996000.0
156,2022-01-16,1,4987000,25,2021-12-19,162.0,29516000.0
157,2022-01-16,2,9006000,52,2021-12-19,162.0,29516000.0
158,2022-01-17,1,2203500,18,2021-12-20,144.0,26036000.0
